zip:varchar:5	lat:decimal:10,6	long:decimal:10,6	city:varchar:25	stateshort:varchar:2	state:varchar:20	county:varchar:21
01222	42.185969	-73.318695	Ashley Falls	MA	Massachusetts	Berkshire
01223	42.341800	-73.103468	Becket	MA	Massachusetts	Berkshire
01224	42.392900	-73.228483	Berkshire	MA	Massachusetts	Berkshire
01225	42.482125	-73.127483	Cheshire	MA	Massachusetts	Berkshire
01226	42.470296	-73.088950	Dalton	MA	Massachusetts	Berkshire
01230	42.299392	-73.266650	Great Barrington	MA	Massachusetts	Berkshire
01235	42.292370	-73.221640	Hinsdale	MA	Massachusetts	Berkshire
01236	42.291299	-73.358798	Housatonic	MA	Massachusetts	Berkshire
01237	42.487569	-73.235048	Lanesboro	MA	Massachusetts	Berkshire
01238	42.369856	-73.267465	Lee	MA	Massachusetts	Berkshire
01240	42.459202	-73.219858	Lenox	MA	Massachusetts	Berkshire
01243	42.356088	-73.010448	Middlefield	MA	Massachusetts	Hampshire
01245	42.186690	-73.206498	Monterey	MA	Massachusetts	Berkshire
01247	42.426974	-73.186320	North Adams	MA	Massachusetts	Berkshire
01253	42.213156	-73.090434	Otis	MA	Massachusetts	Berkshire
01254	42.233105	-73.238358	Richmond	MA	Massachusetts	Berkshire
01255	42.148975	-73.148610	Sandisfield	MA	Massachusetts	Berkshire
01256	42.367341	-73.128528	Savoy	MA	Massachusetts	Berkshire
01257	42.314564	-73.267694	Sheffield	MA	Massachusetts	Berkshire
01258	42.128075	-73.360890	South Egremont	MA	Massachusetts	Berkshire
01262	42.304604	-73.330001	Stockbridge	MA	Massachusetts	Berkshire
01264	42.220001	-73.197865	Tyringham	MA	Massachusetts	Berkshire
01266	42.360482	-73.265354	West Stockbridge	MA	Massachusetts	Berkshire
01267	42.642075	-73.257699	Williamstown	MA	Massachusetts	Berkshire
01270	42.443726	-73.116127	Windsor	MA	Massachusetts	Berkshire
01301	42.601335	-72.623619	Greenfield	MA	Massachusetts	Franklin
01330	42.562391	-72.738152	Ashfield	MA	Massachusetts	Franklin
01331	42.547302	-72.183903	Athol	MA	Massachusetts	Worcester
01337	42.627060	-72.642888	Bernardston	MA	Massachusetts	Franklin
01338	42.573832	-72.769487	Buckland	MA	Massachusetts	Franklin
01339	42.594252	-72.665507	Charlemont	MA	Massachusetts	Franklin
01340	42.681539	-72.822986	Colrain	MA	Massachusetts	Franklin
01341	42.590824	-72.709760	Conway	MA	Massachusetts	Franklin
01342	42.547230	-72.607679	Deerfield	MA	Massachusetts	Franklin
01344	42.627072	-72.553654	Erving	MA	Massachusetts	Franklin
01346	42.618011	-72.788896	Heath	MA	Massachusetts	Franklin
01349	42.621412	-72.705633	Turners Falls	MA	Massachusetts	Franklin
01351	42.548107	-72.486930	Montague	MA	Massachusetts	Franklin
01354	42.522178	-72.624164	Northfield	MA	Massachusetts	Franklin
01364	42.578325	-72.556589	Orange	MA	Massachusetts	Franklin
01366	42.459632	-72.182962	Petersham	MA	Massachusetts	Worcester
01367	42.683065	-72.715667	Rowe	MA	Massachusetts	Franklin
01370	42.588812	-72.758781	Shelburne Falls	MA	Massachusetts	Franklin
01373	42.464522	-72.682346	South Deerfield	MA	Massachusetts	Franklin
01375	42.565346	-72.700940	Sunderland	MA	Massachusetts	Franklin
01420	42.583689	-71.816767	Fitchburg	MA	Massachusetts	Worcester
01430	42.654906	-71.920942	Ashburnham	MA	Massachusetts	Worcester
01431	42.446396	-71.459405	Ashby	MA	Massachusetts	Middlesex
01432	42.446396	-71.459405	Ayer	MA	Massachusetts	Middlesex
01436	42.601427	-72.083838	Baldwinville	MA	Massachusetts	Worcester
01438	42.551681	-72.029434	East Templeton	MA	Massachusetts	Worcester
01440	42.582529	-72.025884	Gardner	MA	Massachusetts	Worcester
01450	42.446396	-71.459405	Groton	MA	Massachusetts	Middlesex
01451	42.500187	-71.575864	Harvard	MA	Massachusetts	Worcester
01452	42.483895	-72.011516	Hubbardston	MA	Massachusetts	Worcester
01453	42.471316	-71.837509	Leominster	MA	Massachusetts	Worcester
01460	42.446396	-71.459405	Littleton	MA	Massachusetts	Middlesex
01462	42.583322	-71.752266	Lunenburg	MA	Massachusetts	Worcester
01463	42.446396	-71.459405	Pepperell	MA	Massachusetts	Middlesex
01464	42.446396	-71.459405	Shirley	MA	Massachusetts	Middlesex
01468	42.555059	-72.072285	Templeton	MA	Massachusetts	Worcester
01469	42.446396	-71.459405	Townsend	MA	Massachusetts	Middlesex
01473	42.549489	-71.913219	Westminster	MA	Massachusetts	Worcester
01474	42.446396	-71.459405	West Townsend	MA	Massachusetts	Middlesex
01475	42.661612	-72.047876	Winchendon	MA	Massachusetts	Worcester
01501	42.184835	-71.947184	Auburn	MA	Massachusetts	Worcester
01503	42.312900	-71.841656	Berlin	MA	Massachusetts	Worcester
01504	42.114078	-71.799785	Blackstone	MA	Massachusetts	Worcester
01505	42.300037	-71.943458	Boylston	MA	Massachusetts	Worcester
01506	42.191690	-72.105011	Brookfield	MA	Massachusetts	Worcester
01507	42.132770	-71.972627	Charlton	MA	Massachusetts	Worcester
01508	42.109748	-72.079455	Charlton City	MA	Massachusetts	Worcester
01510	42.413972	-71.687523	Clinton	MA	Massachusetts	Worcester
01516	42.113076	-71.891139	Douglas	MA	Massachusetts	Worcester
01519	42.203944	-71.682862	Grafton	MA	Massachusetts	Worcester
01520	42.336791	-71.845316	Holden	MA	Massachusetts	Worcester
01521	42.061063	-72.163991	Holland	MA	Massachusetts	Hampden
01522	42.264629	-71.795442	Jefferson	MA	Massachusetts	Worcester
01523	42.427188	-71.911770	Lancaster	MA	Massachusetts	Worcester
01524	42.238192	-72.012379	Leicester	MA	Massachusetts	Worcester
01525	42.364807	-71.896868	Linwood	MA	Massachusetts	Worcester
01526	42.364807	-71.896868	Manchaug	MA	Massachusetts	Worcester
01527	42.255642	-71.819961	Millbury	MA	Massachusetts	Worcester
01529	42.124662	-71.846943	Millville	MA	Massachusetts	Worcester
01532	42.322118	-71.642820	Northborough	MA	Massachusetts	Worcester
01534	42.207191	-71.856807	Northbridge	MA	Massachusetts	Worcester
01535	42.275382	-72.089338	North Brookfield	MA	Massachusetts	Worcester
01536	42.407556	-71.860402	North Grafton	MA	Massachusetts	Worcester
01537	42.166241	-71.891052	North Oxford	MA	Massachusetts	Worcester
01540	42.109223	-71.855444	Oxford	MA	Massachusetts	Worcester
01541	42.451926	-71.880057	Princeton	MA	Massachusetts	Worcester
01543	42.383516	-71.954630	Rutland	MA	Massachusetts	Worcester
01545	42.286992	-71.715313	Shrewsbury	MA	Massachusetts	Worcester
01550	42.129251	-72.031155	Southbridge	MA	Massachusetts	Worcester
01560	42.176544	-71.681912	South Grafton	MA	Massachusetts	Worcester
01561	42.443539	-71.686137	South Lancaster	MA	Massachusetts	Worcester
01562	42.254837	-72.065612	Spencer	MA	Massachusetts	Worcester
01564	42.366765	-71.939375	Sterling	MA	Massachusetts	Worcester
01566	42.102730	-72.080996	Sturbridge	MA	Massachusetts	Worcester
01568	42.175591	-71.603197	Upton	MA	Massachusetts	Worcester
01569	42.059736	-71.638438	Uxbridge	MA	Massachusetts	Worcester
01570	42.135100	-71.994169	Webster	MA	Massachusetts	Worcester
01571	42.059189	-71.937037	Dudley	MA	Massachusetts	Worcester
01580	42.364807	-71.896868	Westborough	MA	Massachusetts	Worcester
01583	42.362783	-71.781215	West Boylston	MA	Massachusetts	Worcester
01588	42.166554	-71.899484	Whitinsville	MA	Massachusetts	Worcester
01590	42.126575	-71.755193	Sutton	MA	Massachusetts	Worcester
01601	42.265275	-71.879415	Worcester	MA	Massachusetts	Worcester
01611	42.239392	-71.878716	Cherry Valley	MA	Massachusetts	Worcester
01612	42.304675	-71.892875	Paxton	MA	Massachusetts	Worcester
01701	42.446396	-71.459405	Framingham	MA	Massachusetts	Middlesex
01718	42.446396	-71.459405	Village Of Nagog Woods	MA	Massachusetts	Middlesex
01719	42.446396	-71.459405	Boxborough	MA	Massachusetts	Middlesex
01720	42.446396	-71.459405	Acton	MA	Massachusetts	Middlesex
01721	42.446396	-71.459405	Ashland	MA	Massachusetts	Middlesex
01730	42.446396	-71.459405	Bedford	MA	Massachusetts	Middlesex
01731	42.446396	-71.459405	Hanscom Afb	MA	Massachusetts	Middlesex
01740	42.436043	-71.605916	Bolton	MA	Massachusetts	Worcester
01741	42.446396	-71.459405	Carlisle	MA	Massachusetts	Middlesex
01742	42.446396	-71.459405	Concord	MA	Massachusetts	Middlesex
01745	42.293442	-71.502762	Fayville	MA	Massachusetts	Worcester
01746	42.446396	-71.459405	Holliston	MA	Massachusetts	Middlesex
01747	42.127515	-71.533138	Hopedale	MA	Massachusetts	Worcester
01748	42.446396	-71.459405	Hopkinton	MA	Massachusetts	Middlesex
01749	42.446396	-71.459405	Hudson	MA	Massachusetts	Middlesex
01752	42.446396	-71.459405	Marlborough	MA	Massachusetts	Middlesex
01754	42.446396	-71.459405	Maynard	MA	Massachusetts	Middlesex
01756	42.100352	-71.546961	Mendon	MA	Massachusetts	Worcester
01757	42.147087	-71.528085	Milford	MA	Massachusetts	Worcester
01760	42.446396	-71.459405	Natick	MA	Massachusetts	Middlesex
01770	42.446396	-71.459405	Sherborn	MA	Massachusetts	Middlesex
01772	42.296842	-71.533229	Southborough	MA	Massachusetts	Worcester
01773	42.446396	-71.459405	Lincoln	MA	Massachusetts	Middlesex
01775	42.446396	-71.459405	Stow	MA	Massachusetts	Middlesex
01776	42.446396	-71.459405	Sudbury	MA	Massachusetts	Middlesex
01778	42.446396	-71.459405	Wayland	MA	Massachusetts	Middlesex
01801	42.488595	-71.157271	Woburn	MA	Massachusetts	Middlesex
01803	42.504844	-71.201539	Burlington	MA	Massachusetts	Middlesex
01810	42.647991	-71.165685	Andover	MA	Massachusetts	Essex
01821	42.446396	-71.459405	Billerica	MA	Massachusetts	Middlesex
01824	42.446396	-71.459405	Chelmsford	MA	Massachusetts	Middlesex
01826	42.446396	-71.459405	Dracut	MA	Massachusetts	Middlesex
01827	42.446396	-71.459405	Dunstable	MA	Massachusetts	Middlesex
01830	42.792639	-71.072501	Haverhill	MA	Massachusetts	Essex
01833	42.723770	-70.981298	Georgetown	MA	Massachusetts	Essex
01834	42.751074	-71.021437	Groveland	MA	Massachusetts	Essex
01840	42.707340	-71.161052	Lawrence	MA	Massachusetts	Essex
01844	42.731840	-71.186915	Methuen	MA	Massachusetts	Essex
01845	42.672835	-71.087689	North Andover	MA	Massachusetts	Essex
01850	42.446396	-71.459405	Lowell	MA	Massachusetts	Middlesex
01860	42.802441	-71.089600	Merrimac	MA	Massachusetts	Essex
01862	42.446396	-71.459405	North Billerica	MA	Massachusetts	Middlesex
01863	42.446396	-71.459405	North Chelmsford	MA	Massachusetts	Middlesex
01864	42.581332	-71.083725	North Reading	MA	Massachusetts	Middlesex
01866	42.446396	-71.459405	Pinehurst	MA	Massachusetts	Middlesex
01867	42.537065	-71.107172	Reading	MA	Massachusetts	Middlesex
01876	42.446396	-71.459405	Tewksbury	MA	Massachusetts	Middlesex
01879	42.446396	-71.459405	Tyngsboro	MA	Massachusetts	Middlesex
01880	42.499891	-71.068829	Wakefield	MA	Massachusetts	Middlesex
01886	42.446396	-71.459405	Westford	MA	Massachusetts	Middlesex
01887	42.561782	-71.173888	Wilmington	MA	Massachusetts	Middlesex
01890	42.454545	-71.148779	Winchester	MA	Massachusetts	Middlesex
01901	42.461246	-70.946743	Lynn	MA	Massachusetts	Essex
01906	42.472112	-70.997794	Saugus	MA	Massachusetts	Essex
01907	42.513295	-70.905893	Swampscott	MA	Massachusetts	Essex
01908	42.427296	-70.922442	Nahant	MA	Massachusetts	Essex
01913	42.853539	-70.948211	Amesbury	MA	Massachusetts	Essex
01915	42.565145	-70.853843	Beverly	MA	Massachusetts	Essex
01921	42.683256	-71.017403	Boxford	MA	Massachusetts	Essex
01922	42.763216	-70.928120	Byfield	MA	Massachusetts	Essex
01923	42.577188	-70.949245	Danvers	MA	Massachusetts	Essex
01929	42.627810	-70.780576	Essex	MA	Massachusetts	Essex
01930	42.630011	-70.694179	Gloucester	MA	Massachusetts	Essex
01936	42.635443	-70.879123	Hamilton	MA	Massachusetts	Essex
01938	42.685710	-70.864132	Ipswich	MA	Massachusetts	Essex
01940	42.533732	-71.028775	Lynnfield	MA	Massachusetts	Essex
01944	42.579503	-70.755062	Manchester	MA	Massachusetts	Essex
01945	42.561420	-70.770768	Marblehead	MA	Massachusetts	Essex
01947	42.512946	-70.904237	Salem	MA	Massachusetts	Essex
01949	42.644942	-71.087905	Middleton	MA	Massachusetts	Essex
01950	42.809650	-70.873196	Newburyport	MA	Massachusetts	Essex
01951	42.777524	-70.867246	Newbury	MA	Massachusetts	Essex
01952	42.851234	-70.865667	Salisbury	MA	Massachusetts	Essex
01960	42.536996	-70.973646	Peabody	MA	Massachusetts	Essex
01965	42.558113	-70.825743	Prides Crossing	MA	Massachusetts	Essex
01966	42.657866	-70.618057	Rockport	MA	Massachusetts	Essex
01969	42.716155	-70.892754	Rowley	MA	Massachusetts	Essex
01982	42.626664	-70.851125	South Hamilton	MA	Massachusetts	Essex
01983	42.661793	-70.954487	Topsfield	MA	Massachusetts	Essex
01984	42.597691	-70.873200	Wenham	MA	Massachusetts	Essex
01985	42.794140	-70.971068	West Newbury	MA	Massachusetts	Essex
02019	42.076501	-71.470464	Bellingham	MA	Massachusetts	Norfolk
02021	42.179146	-71.121185	Canton	MA	Massachusetts	Norfolk
02025	42.233938	-70.815826	Cohasset	MA	Massachusetts	Norfolk
02026	42.244733	-71.181141	Dedham	MA	Massachusetts	Norfolk
02030	42.236114	-71.283072	Dover	MA	Massachusetts	Norfolk
02032	42.153786	-71.214550	East Walpole	MA	Massachusetts	Norfolk
02035	42.062204	-71.235774	Foxboro	MA	Massachusetts	Norfolk
02038	42.088680	-71.404814	Franklin	MA	Massachusetts	Norfolk
02040	41.970474	-70.701357	Greenbush	MA	Massachusetts	Plymouth
02041	42.069642	-70.649075	Green Harbor	MA	Massachusetts	Plymouth
02043	42.212105	-70.884989	Hingham	MA	Massachusetts	Plymouth
02045	42.284413	-70.873659	Hull	MA	Massachusetts	Plymouth
02048	42.013182	-71.218373	Mansfield	MA	Massachusetts	Bristol
02050	42.111805	-70.710744	Marshfield	MA	Massachusetts	Plymouth
02052	42.181265	-71.309934	Medfield	MA	Massachusetts	Norfolk
02053	42.156282	-71.427663	Medway	MA	Massachusetts	Norfolk
02054	42.165249	-71.361260	Millis	MA	Massachusetts	Norfolk
02056	42.117511	-71.331793	Norfolk	MA	Massachusetts	Norfolk
02060	41.970474	-70.701357	North Scituate	MA	Massachusetts	Plymouth
02061	42.154145	-70.823035	Norwell	MA	Massachusetts	Plymouth
02062	42.182798	-71.196277	Norwood	MA	Massachusetts	Norfolk
02066	42.207254	-70.770188	Scituate	MA	Massachusetts	Plymouth
02067	42.105288	-71.184785	Sharon	MA	Massachusetts	Norfolk
02071	42.100399	-71.270933	South Walpole	MA	Massachusetts	Norfolk
02072	42.118416	-71.105733	Stoughton	MA	Massachusetts	Norfolk
02081	42.148624	-71.255533	Walpole	MA	Massachusetts	Norfolk
02090	42.220548	-71.199238	Westwood	MA	Massachusetts	Norfolk
02093	42.054311	-71.371169	Wrentham	MA	Massachusetts	Norfolk
02101	42.370567	-71.026964	Boston	MA	Massachusetts	Suffolk
02126	42.301247	-71.105195	Mattapan	MA	Massachusetts	Suffolk
02129	42.382588	-71.065287	Charlestown	MA	Massachusetts	Suffolk
02130	42.309661	-71.121097	Jamaica Plain	MA	Massachusetts	Suffolk
02131	42.284197	-71.120896	Roslindale	MA	Massachusetts	Suffolk
02132	42.277897	-71.155833	West Roxbury	MA	Massachusetts	Suffolk
02134	42.357169	-71.112646	Allston	MA	Massachusetts	Suffolk
02135	42.349768	-71.104888	Brighton	MA	Massachusetts	Suffolk
02136	42.254248	-71.129321	Hyde Park	MA	Massachusetts	Suffolk
02138	42.380442	-71.132947	Cambridge	MA	Massachusetts	Middlesex
02143	42.380920	-71.098896	Somerville	MA	Massachusetts	Middlesex
02146	42.318097	-71.143697	Brookline	MA	Massachusetts	Norfolk
02147	42.180048	-71.089230	Brookline Village	MA	Massachusetts	Norfolk
02148	42.436545	-71.085396	Malden	MA	Massachusetts	Middlesex
02149	42.407396	-71.051183	Everett	MA	Massachusetts	Middlesex
02150	42.378197	-71.038894	Chelsea	MA	Massachusetts	Suffolk
02151	42.366303	-71.020494	Revere	MA	Massachusetts	Suffolk
02152	42.378447	-70.981679	Winthrop	MA	Massachusetts	Suffolk
02153	42.446396	-71.459405	Medford	MA	Massachusetts	Middlesex
02154	42.398588	-71.245050	Waltham	MA	Massachusetts	Middlesex
02156	42.446396	-71.459405	West Medford	MA	Massachusetts	Middlesex
02157	42.180048	-71.089230	Babson Park	MA	Massachusetts	Norfolk
02158	42.385096	-71.208399	Newton	MA	Massachusetts	Middlesex
02166	42.346696	-71.224957	Auburndale	MA	Massachusetts	Middlesex
02167	42.357564	-71.211649	Chestnut Hill	MA	Massachusetts	Middlesex
02168	42.327146	-71.231534	Waban	MA	Massachusetts	Middlesex
02169	42.241799	-71.006042	Quincy	MA	Massachusetts	Norfolk
02172	42.446396	-71.459405	Watertown	MA	Massachusetts	Middlesex
02173	42.456310	-71.216650	Lexington	MA	Massachusetts	Middlesex
02174	42.417595	-71.159696	Arlington	MA	Massachusetts	Middlesex
02175	42.446396	-71.459405	Arlington Heights	MA	Massachusetts	Middlesex
02176	42.458995	-71.053095	Melrose	MA	Massachusetts	Middlesex
02178	42.412795	-71.204399	Belmont	MA	Massachusetts	Middlesex
02180	42.474595	-71.098146	Stoneham	MA	Massachusetts	Middlesex
02181	42.294546	-71.299201	Wellesley	MA	Massachusetts	Norfolk
02184	42.202216	-71.005192	Braintree	MA	Massachusetts	Norfolk
02186	42.240598	-71.078494	Milton	MA	Massachusetts	Norfolk
02188	42.207940	-70.955140	Weymouth	MA	Massachusetts	Norfolk
02192	42.279797	-71.250060	Needham	MA	Massachusetts	Norfolk
02193	42.375925	-71.227208	Weston	MA	Massachusetts	Middlesex
02301	42.079399	-71.039990	Brockton	MA	Massachusetts	Plymouth
02322	42.126049	-71.048216	Avon	MA	Massachusetts	Norfolk
02324	41.973741	-70.976558	Bridgewater	MA	Massachusetts	Plymouth
02327	42.040708	-70.827245	Bryantville	MA	Massachusetts	Plymouth
02330	41.896238	-70.759689	Carver	MA	Massachusetts	Plymouth
02331	41.970474	-70.701357	Duxbury	MA	Massachusetts	Plymouth
02333	42.022850	-70.931056	East Bridgewater	MA	Massachusetts	Plymouth
02334	42.023528	-71.132397	Easton	MA	Massachusetts	Bristol
02338	41.988351	-70.860578	Halifax	MA	Massachusetts	Plymouth
02339	42.123534	-70.851048	Hanover	MA	Massachusetts	Plymouth
02341	42.055701	-70.875936	Hanson	MA	Massachusetts	Plymouth
02343	42.144424	-71.002890	Holbrook	MA	Massachusetts	Norfolk
02344	41.970474	-70.701357	Middleboro	MA	Massachusetts	Plymouth
02345	41.888198	-70.581029	Manomet	MA	Massachusetts	Plymouth
02347	41.843757	-70.959981	Lakeville	MA	Massachusetts	Plymouth
02351	42.117490	-70.959888	Abington	MA	Massachusetts	Plymouth
02356	42.053408	-71.120330	North Easton	MA	Massachusetts	Bristol
02359	42.065702	-70.800778	Pembroke	MA	Massachusetts	Plymouth
02360	41.886207	-70.638717	Plymouth	MA	Massachusetts	Plymouth
02364	41.979405	-70.744813	Kingston	MA	Massachusetts	Plymouth
02368	42.171467	-71.055602	Randolph	MA	Massachusetts	Norfolk
02370	41.954199	-70.885095	Rockland	MA	Massachusetts	Plymouth
02375	42.023199	-71.111091	South Easton	MA	Massachusetts	Bristol
02379	42.021650	-71.023588	West Bridgewater	MA	Massachusetts	Plymouth
02382	42.078500	-70.940837	Whitman	MA	Massachusetts	Plymouth
02459	42.334146	-71.183298	Newton Center	MA	Massachusetts	Middlesex
02460	42.374296	-71.182371	Newtonville	MA	Massachusetts	Middlesex
02461	42.361196	-71.205349	Newton Highlands	MA	Massachusetts	Middlesex
02462	42.349496	-71.209699	Newton Lower Falls	MA	Massachusetts	Middlesex
02464	42.365990	-71.221849	Newton Upper Falls	MA	Massachusetts	Middlesex
02465	42.378145	-71.213199	West Newton	MA	Massachusetts	Middlesex
02532	41.745505	-70.590471	Buzzards Bay	MA	Massachusetts	Barnstable
02534	41.669373	-70.623370	Cataumet	MA	Massachusetts	Barnstable
02535	41.379034	-70.673082	Chilmark	MA	Massachusetts	Dukes
02536	41.662506	-70.562843	East Falmouth	MA	Massachusetts	Barnstable
02539	41.401176	-70.552054	Edgartown	MA	Massachusetts	Dukes
02540	41.614199	-70.493263	Falmouth	MA	Massachusetts	Barnstable
02543	41.593809	-70.646442	Woods Hole	MA	Massachusetts	Barnstable
02554	41.287647	-70.086650	Nantucket	MA	Massachusetts	Nantucket
02557	41.417376	-70.560032	Oak Bluffs	MA	Massachusetts	Dukes
02559	41.694771	-70.622769	Pocasset	MA	Massachusetts	Barnstable
02561	41.770254	-70.533664	Sagamore	MA	Massachusetts	Barnstable
02562	41.793263	-70.519584	Sagamore Beach	MA	Massachusetts	Barnstable
02563	41.711291	-70.477482	Sandwich	MA	Massachusetts	Barnstable
02564	41.273949	-70.015545	Siasconset	MA	Massachusetts	Nantucket
02568	41.415950	-70.595235	Vineyard Haven	MA	Massachusetts	Dukes
02571	41.760216	-70.694662	Wareham	MA	Massachusetts	Plymouth
02574	41.603946	-70.638189	West Falmouth	MA	Massachusetts	Barnstable
02575	41.421250	-70.642806	West Tisbury	MA	Massachusetts	Dukes
02576	41.769863	-70.749688	West Wareham	MA	Massachusetts	Plymouth
02601	41.829813	-70.138834	Hyannis	MA	Massachusetts	Barnstable
02630	41.697313	-70.301394	Barnstable	MA	Massachusetts	Barnstable
02631	41.852997	-70.044462	Brewster	MA	Massachusetts	Barnstable
02632	41.796311	-70.175129	Centerville	MA	Massachusetts	Barnstable
02633	41.859559	-70.046800	Chatham	MA	Massachusetts	Barnstable
02635	41.624341	-70.436380	Cotuit	MA	Massachusetts	Barnstable
02637	41.701438	-70.277212	Cummaquid	MA	Massachusetts	Barnstable
02638	41.725716	-70.089142	Dennis	MA	Massachusetts	Barnstable
02641	41.734713	-70.204670	East Dennis	MA	Massachusetts	Barnstable
02642	41.850612	-70.020648	Eastham	MA	Massachusetts	Barnstable
02643	41.784308	-69.962034	East Orleans	MA	Massachusetts	Barnstable
02645	41.835582	-70.043359	Harwich	MA	Massachusetts	Barnstable
02646	41.845717	-70.053544	Harwich Port	MA	Massachusetts	Barnstable
02647	41.635004	-70.306336	Hyannis Port	MA	Massachusetts	Barnstable
02648	41.813034	-70.246666	Marstons Mills	MA	Massachusetts	Barnstable
02649	41.788337	-70.253543	Mashpee	MA	Massachusetts	Barnstable
02652	41.931061	-70.283584	North Truro	MA	Massachusetts	Barnstable
02653	41.852933	-70.015390	Orleans	MA	Massachusetts	Barnstable
02655	41.810178	-70.191269	Osterville	MA	Massachusetts	Barnstable
02657	41.888775	-70.091057	Provincetown	MA	Massachusetts	Barnstable
02664	41.824120	-70.084259	South Yarmouth	MA	Massachusetts	Barnstable
02666	41.987377	-70.047163	Truro	MA	Massachusetts	Barnstable
02667	41.821307	-70.022806	Wellfleet	MA	Massachusetts	Barnstable
02668	41.790550	-70.201719	West Barnstable	MA	Massachusetts	Barnstable
02670	41.710855	-70.072195	West Dennis	MA	Massachusetts	Barnstable
02673	41.776105	-70.150512	West Yarmouth	MA	Massachusetts	Barnstable
02675	41.716271	-70.135884	Yarmouth Port	MA	Massachusetts	Barnstable
02703	41.938976	-71.302297	Attleboro	MA	Massachusetts	Bristol
02714	41.756214	-71.067062	Dartmouth	MA	Massachusetts	Bristol
02715	41.817659	-71.151787	Dighton	MA	Massachusetts	Bristol
02717	41.747358	-70.978947	East Freetown	MA	Massachusetts	Bristol
02719	41.631672	-70.870045	Fairhaven	MA	Massachusetts	Bristol
